district,place,date,count
마포,청기와타운 마포용강점,2021-10-25,1
마포,여의도역,2021-10-31,2
마포,공덕역,2021-10-24,1
마포,연남동,2021-11-04,4
마포,녹기전에,2021-10-31,1
마포,애오개역,2021-11-01,1
마포,채그로 - 책과 사람이 만나는 독서플랫폼,2021-11-03,1
마포,"Seoul, Korea",2021-10-23,7
마포,Flick on coffee 플릭온커피,2021-11-03,3
마포,홍대입구역,2021-10-26,2
마포,루아르커피바,2021-11-05,1
마포,해방집,2021-01-13,8
마포,기노 木野,2020-08-17,1
마포,청주시,2021-08-07,1
마포,"Mapo, Seoul, Korea",2021-06-09,1
마포,홍대,2021-06-10,2
마포,발리문,2021-05-24,1
마포,이인  怡隣,2021-11-05,1
종로,낙산공원 서울성곽길,2021-11-02,1
종로,Sangmu Sushi,2021-11-04,1
종로,안국역,2021-11-03,1
종로,을지로 장만옥,2021-10-30,6
종로,익선동,2021-11-05,3
종로,"Seoul, South Korea",2021-11-03,1
종로,산모퉁이 카페,2021-11-04,1
종로,북촌,2021-11-03,1
종로,mishmash,2021-11-04,1
종로,창신동,2021-10-28,1
종로,인사동,2021-11-04,1
종로,서울 중구 신당동,2021-10-05,1
종로,테라핀,2021-10-09,4
종로,동묘마케트,2021-04-30,1
종로,계동 이잌,2021-10-12,1
종로,샤오바오우육면,2021-10-13,1
종로,런던베이글뮤지엄,2021-10-01,1
종로,가배도.삼청,2021-06-08,1
종로,대림상가,2021-10-23,1
종로,종로 세운상가,2021-10-29,1
용산,Namyeong-dong,2021-11-04,1
용산,버뮤다삼각지,2021-11-03,1
용산,숙대입구역,2021-11-03,1
용산,몽탄,2021-10-29,1
용산,Tipsy seoul,2021-11-03,1
용산,소버,2021-11-04,1
용산,Bakery Mui,2021-11-03,1
용산,한남동,2021-11-02,3
용산,갯마을 한강로점,2021-11-05,1
용산,용산공원,2021-10-06,7
용산,Approach cafe,2021-11-03,1
용산,Invited 인바이티드,2021-10-27,1
용산,용산역,2021-11-04,1
용산,효창동,2021-10-19,1
용산,용산역 근처,2021-10-08,1
용산,The Royal Food and Drink,2021-11-04,1
용산,심상,2021-09-17,1
용산,삼각지역 근처,2021-11-03,1
용산,흐이,2021-11-05,1
용산,NEGA,2021-07-03,1
용산,PONT,2021-10-06,1
강남,미도인,2021-11-05,1
강남,꼼다비뛰드,2021-11-04,1
강남,얼아츠카페,2021-11-05,1
강남,헤이보울 hey.bowl,2021-11-04,1
강남,Midtown seoul,2021-11-01,1
강남,새로생긴 양재사옥 파스쿠찌,2021-10-31,1
강남,어몽헤어,2021-11-05,1
강남,시그니엘부산,2021-11-05,1
강남,강남,2021-10-31,1
강남,청담 벨뷰,2021-11-01,1
강남,강남구 신사동,2021-10-12,2
강남,_hpseoul,2021-10-12,1
강남,강남역맛집 서울주막 1호점,2021-10-17,1
강남,강남명전,2021-10-24,1
송파,다람,2021-11-01,1
송파,잠실역,2021-10-20,1
송파,도요스6가,2021-11-05,1
송파,제로베이커리 - ZERO BAKERY,2021-11-03,1
송파,Sablé 사브레,2021-11-04,1
송파,송파구 어딘가,2021-10-31,1
송파,송파구삼전동,2021-11-03,1
송파,얼터너티브 커피 Alternative Coffee,2021-10-18,1
송파,효자촌,2021-10-04,1
송파,bontemps.seoul,2021-11-04,1
송파,카페 이클립스 eclipse,2021-11-05,1
송파,문러너,2021-08-15,1
송파,유주얼이터리,2020-02-08,1
송파,고래사냥포차 석촌,2021-11-05,1
송파,한림돈가 방이점,2021-10-27,1
송파,할머니 포장마차 멸치국수,2021-10-25,1
송파,잠실어딘가...,2021-05-17,1
송파,송파구 잠실동,2021-07-12,1
송파,천사곱창위례점,2021-11-05,1
영등포,삼창교자,2021-11-04,2
영등포,무식당,2021-11-02,1
영등포,어바웃더피자,2021-11-05,1
영등포,엔티크커피,2021-09-18,1
영등포,당산역,2021-10-24,1
영등포,시즌커피앤베이크,2021-11-02,1
영등포,유월커피,2021-10-17,1
영등포,헤비로테이트,2021-09-27,1
영등포,영등포역,2021-08-06,1
영등포,영등포어딘가,2021-10-28,1
영등포,"Hello, Pomelo",2021-07-06,1
영등포,영등포 지하상가,2021-06-15,1
영등포,영등포구청역 (5호선),2021-09-27,1
영등포,타임스퀘어 (Times Square),2021-04-30,1
한남,다운타우너 안국 - Downtowner Anguk,2021-10-29,1
한남,Buto,2021-10-02,1
한남,ALP Kitchen,2021-11-01,1
한남,Camillo Hannam 카밀로 한남,2021-10-06,1
한남,인천국제공항,2021-11-05,1
한남,엘로우(Llow),2021-09-18,1
한남,Itaewon,2021-11-03,3
한남,카페 노티드 한남 - Cafe Knotted Hannam,2021-11-05,1
한남,한남오거리,2021-07-28,1
한남,Bar Big Lights,2021-10-12,1
한남,HannamKitchen/한남소관,2020-09-17,1
한남,세스타 cesta.seoul,2021-10-24,1
한남,Gongi : 공기,2021-10-05,1
한남,엔다이브 한남,2021-10-08,1
한남,나인원 한남,2020-04-02,1
신촌,마포 광흥창,2021-11-05,2
신촌,오디너리핏,2021-09-26,1
신촌,내사랑,2021-10-12,1
신촌,대한민국 서울,2021-09-16,1
신촌,Summit.culture,2021-10-17,1
신촌,원즈오운 one’s own,2021-10-26,1
신촌,르솔레이,2021-10-24,1
신촌,릴리우드 Lillywood,2021-11-01,1
신촌,신촌역,2021-09-12,5
신촌,네이버후드 Neighborhood,2021-09-14,1
신촌,서대문구,2021-11-05,1
신촌,신촌 어딘가,2021-09-01,1
홍대,서울숲,2021-11-03,1
홍대,"淵, 모뎐",2021-11-05,2
홍대,Amton - 암튼,2021-11-04,1
홍대,공미학,2021-11-02,1
홍대,Petrol place,2021-11-03,1
홍대,"Hapjeong , Soeul",2021-11-05,1
홍대,Jeju,2021-11-05,1
홍대,효봉포차 3호점,2021-11-05,1
홍대,산울림1992,2021-11-05,1
홍대,바다회사랑,2021-11-01,1
홍대,신이도가,2021-11-05,1
을지로,옥경이네 건생선,2021-11-01,1
을지로,페닌슐라,2021-11-05,1
을지로,충무로 인현시장,2021-11-03,1
을지로,원형들,2021-10-28,3
을지로,드레싱룸,2021-10-18,2
을지로,을지로,2021-10-31,2
을지로,섬광,2021-10-24,1
을지로,Molto,2021-11-05,1
을지로,스탠딩바전기,2021-10-21,1
을지로,루엘드샹들리에,2021-11-04,1
을지로,Ars longa - 아스론가,2021-10-18,2
을지로,Queen’s Sunday,2021-11-04,1
을지로,을지로 3가,2021-10-21,1
을지로,Mwm Euljiro,2021-11-05,1
